"Table","Year","Month","Variable","Value"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"NOV","HSY","41.65"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"DEC","HSY","33.994623655913976"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"JAN","WAD (P)","15.429812961392313"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"FEB","WAD (P)","16.997930152650532"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"MAR","WAD (P)","14.269400246549571"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"APR","WAD (P)","3.0027775205944192"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"MAY","WAD (P)","0.44438342366038208"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"JUN","WAD (P)","0"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"JUL","WAD (P)","0"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"AUG","WAD (P)","0"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"SEP","WAD (P)","6.6087278917452954"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"OCT","WAD (P)","1.2169545405047686"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"NOV","WAD (P)","12.768112178654894"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"DEC","WAD (P)","10.486724718541064"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"JAN","WAD (P)","32.98485731753351"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"FEB","WAD (P)","7.9323674045702495"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"MAR","WAD (P)","3.468394956763083"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"APR","WAD (P)","0.32302375361351249"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"MAY","WAD (P)","10.763986417436627"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"JUN","WAD (P)","0.10434248679996551"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"JUL","WAD (P)","0"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"AUG","WAD (P)","0"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"SEP","WAD (P)","9.8428830895294226"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"OCT","WAD (P)","6.7397376362235093"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"NOV","WAD (P)","12.836208776941055"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"DEC","WAD (P)","12.382724547653289"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"JAN","WAD (P)","30.925210683390048"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"FEB","WAD (P)","10.237411353074444"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"MAR","WAD (P)","1.3457894262906163"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"APR","WAD (P)","8.5622666789577924"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"MAY","WAD (P)","3.6104331928866453"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"JUN","WAD (P)","0"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"JUL","WAD (P)","0"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"AUG","WAD (P)","0"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"SEP","WAD (P)","4.6500715542860478"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"OCT","WAD (P)","9.7383136240272599"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"NOV","WAD (P)","19.878088645806283"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"DEC","WAD (P)","13.734725531991195"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"JAN","WAD (G)","-5.3140194103307348"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"FEB","WAD (G)","0"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"MAR","WAD (G)","0"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"APR","WAD (G)","-7.8688765152437806E-2"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"MAY","WAD (G)","-2.0669127549408097"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"JUN","WAD (G)","-12.145325923134896"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"JUL","WAD (G)","-15.262618732761027"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"AUG","WAD (G)","-9.5620366161872177"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"SEP","WAD (G)","-0.78896759608138634"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"OCT","WAD (G)","0"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"NOV","WAD (G)","0"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"DEC","WAD (G)","0"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"JAN","WAD (G)","0"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"FEB","WAD (G)","-5.9630566620016506E-2"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"MAR","WAD (G)","-1.3137862508204288"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"APR","WAD (G)","-7.563108193829712"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"MAY","WAD (G)","-0.7292058244402857"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"JUN","WAD (G)","-15.693369128359718"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"JUL","WAD (G)","-14.301286117346022"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"AUG","WAD (G)","-13.776535256222836"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"SEP","WAD (G)","-0.2874300427028384"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"OCT","WAD (G)","-1.538823565160311"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"NOV","WAD (G)","0"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"DEC","WAD (G)","0"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"JAN","WAD (G)","0"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"FEB","WAD (G)","0"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"MAR","WAD (G)","-2.2399852930451898"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"APR","WAD (G)","0"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"MAY","WAD (G)","0"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"JUN","WAD (G)","-21.156259105752333"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"JUL","WAD (G)","-19.504222466370702"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"AUG","WAD (G)","-12.41983248294253"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"SEP","WAD (G)","-3.2153288118563164"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"OCT","WAD (G)","-0.17669322426687981"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"NOV","WAD (G)","0"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"DEC","WAD (G)","0"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"JAN","SGL","4.309139784946237"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"FEB","SGL","7.2767857142857144"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"MAR","SGL","11.376344086021506"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"APR","SGL","15.895833333333334"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"MAY","SGL","17.293010752688172"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"JUN","SGL","20.662499999999998"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"JUL","SGL","17.63978494623656"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"AUG","SGL","16.307795698924732"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"SEP","SGL","9.8222222222222211"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"OCT","SGL","8.426075268817204"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"NOV","SGL","5.927777777777778"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"DEC","SGL","6.1854838709677411"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"JAN","SGL","5.139784946236559"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"FEB","SGL","7.7857142857142856"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"MAR","SGL","12.745967741935482"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"APR","SGL","18.12638888888889"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"MAY","SGL","13.225806451612904"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"JUN","SGL","15.408333333333333"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"JUL","SGL","13.225806451612904"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"AUG","SGL","13.513440860215054"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"SEP","SGL","9.7680555555555557"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"OCT","SGL","7.518817204301075"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"NOV","SGL","4.4291666666666663"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"DEC","SGL","5.9798387096774199"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"JAN","SGL","3.1048387096774195"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"FEB","SGL","8.0790229885057467"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"MAR","SGL","11.658602150537634"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"APR","SGL","13.901388888888889"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"MAY","SGL","15.544354838709678"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"JUN","SGL","19.537499999999998"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"JUL","SGL","16.713709677419356"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"AUG","SGL","12.633064516129032"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"SEP","SGL","10.793055555555556"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"OCT","SGL","6.813172043010753"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"NOV","SGL","4.3569444444444443"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"DEC","SGL","5.452956989247312"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"JAN","BRD","3.3561827956989245"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"FEB","BRD","3.4389880952380953"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"MAR","BRD","7.538978494623656"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"APR","BRD","9.0416666666666661"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"MAY","BRD","8.8077956989247301"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"JUN","BRD","9.8569444444444443"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"JUL","BRD","10.818548387096774"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"AUG","BRD","10.733870967741936"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"SEP","BRD","7"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"OCT","BRD","4.235215053763441"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"NOV","BRD","2.5"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"DEC","BRD","4.154569892473118"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"JAN","BRD","3.663978494623656"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"FEB","BRD","5.9464285714285721"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"MAR","BRD","7.176075268817204"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"APR","BRD","9.8083333333333336"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"MAY","BRD","6.282258064516129"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"JUN","BRD","7.1638888888888888"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"JUL","BRD","8.93010752688172"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"AUG","BRD","8.01747311827957"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"SEP","BRD","5.759722222222222"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"OCT","BRD","3.65994623655914"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"NOV","BRD","1.8277777777777777"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"DEC","BRD","3.8629032258064515"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"JAN","BRD","1.9529569892473118"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"FEB","BRD","4.1494252873563218"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"MAR","BRD","6.80510752688172"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"APR","BRD","8.7430555555555554"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"MAY","BRD","7.830645161290323"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"JUN","BRD","10.090277777777777"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"JUL","BRD","10.754032258064518"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"AUG","BRD","7.7325268817204309"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"SEP","BRD","7.4236111111111107"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"OCT","BRD","2.3776881720430105"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"NOV","BRD","2.6652777777777779"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"DEC","BRD","3.435483870967742"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"JAN","PIC","5.2405913978494629"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"FEB","PIC","5.2797619047619042"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"MAR","PIC","8.720430107526882"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"APR","PIC","12.031944444444443"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"MAY","PIC","11.888440860215054"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"JUN","PIC","9.7541666666666664"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"JUL","PIC","10.388440860215054"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"AUG","PIC","10.977150537634408"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"SEP","PIC","8.5611111111111118"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"OCT","PIC","5.623655913978495"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"NOV","PIC","3.8861111111111111"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"DEC","PIC","6.2661290322580641"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"JAN","PIC","5.379032258064516"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"FEB","PIC","8.4553571428571423"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"MAR","PIC","9.2822580645161299"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"APR","PIC","11.830555555555556"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"MAY","PIC","8.8723118279569899"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"JUN","PIC","8.2527777777777782"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"JUL","PIC","9.8736559139784941"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"AUG","PIC","8.80510752688172"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"SEP","PIC","7.1888888888888891"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"OCT","PIC","5.03494623655914"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"NOV","PIC","2.7388888888888889"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"DEC","PIC","5.8145161290322589"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"JAN","PIC","3.0456989247311825"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"FEB","PIC","6.3448275862068968"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"MAR","PIC","8.26747311827957"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"APR","PIC","10.487499999999999"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"MAY","PIC","9.086021505376344"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"JUN","PIC","10.095833333333333"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"JUL","PIC","9.55241935483871"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"AUG","PIC","8.487903225806452"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"SEP","PIC","9.0166666666666675"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"OCT","PIC","2.7620967741935485"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"NOV","PIC","3.6111111111111112"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"DEC","PIC","4.995967741935484"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"JAN","RED","5.258064516129032"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"FEB","RED","5.2232142857142856"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"MAR","RED","7.502688172043011"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"APR","RED","9.094444444444445"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"MAY","RED","8.443548387096774"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"JUN","RED","7.3694444444444445"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"JUL","RED","7.795698924731183"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"AUG","RED","8.875"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"SEP","RED","8.1236111111111118"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"OCT","RED","5.303763440860215"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"NOV","RED","3.8874999999999997"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"DEC","RED","6.317204301075269"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"JAN","RED","5.264784946236559"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"FEB","RED","8.386904761904761"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"MAR","RED","8.297043010752688"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"APR","RED","9.7694444444444439"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"MAY","RED","8.275537634408602"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"JUN","RED","7.4458333333333329"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"JUL","RED","8.366935483870968"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"AUG","RED","7.290322580645161"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"SEP","RED","6.6597222222222223"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"OCT","RED","4.4879032258064511"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"NOV","RED","2.6319444444444442"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"DEC","RED","5.8064516129032251"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"JAN","RED","3.133064516129032"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"FEB","RED","6.001436781609196"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"MAR","RED","7.6895161290322589"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"APR","RED","9.1138888888888889"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"MAY","RED","8.469086021505376"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"JUN","RED","8.2847222222222232"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"JUL","RED","8.865591397849462"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"AUG","RED","7.577956989247312"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"SEP","RED","8.281944444444445"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"OCT","RED","2.7620967741935485"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"NOV","RED","3.7305555555555556"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"DEC","RED","5.181451612903226"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"JAN","TWP","1.389784946236559"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"FEB","TWP","1.6577380952380951"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"MAR","TWP","2.6747311827956985"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"APR","TWP","3.068055555555556"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"MAY","TWP","3.0658602150537635"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"JUN","TWP","2.5680555555555555"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"JUL","TWP","2.3655913978494625"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"AUG","TWP","2.6303763440860215"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"SEP","TWP","2.5805555555555553"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"OCT","TWP","1.8077956989247312"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"NOV","TWP","1.2291666666666667"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"DEC","TWP","2.2701612903225805"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"JAN","TWP","1.935483870967742"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"FEB","TWP","2.6116071428571428"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"MAR","TWP","2.806451612903226"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"APR","TWP","2.8708333333333336"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"MAY","TWP","2.6908602150537635"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"JUN","TWP","2.7347222222222225"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"JUL","TWP","2.3991935483870965"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"AUG","TWP","2.506720430107527"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"SEP","TWP","2.4472222222222224"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"OCT","TWP","1.663978494623656"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"NOV","TWP","0.95833333333333337"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"DEC","TWP","1.6491935483870968"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"JAN","TWP","1.0483870967741935"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"FEB","TWP","1.6465517241379308"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"MAR","TWP","2.3508064516129035"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"APR","TWP","2.9277777777777776"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"MAY","TWP","2.96505376344086"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"JUN","TWP","2.931944444444444"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"JUL","TWP","2.9543010752688175"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"AUG","TWP","2.706989247311828"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"SEP","TWP","2.6416666666666666"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"OCT","TWP","0.85618279569892464"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"NOV","TWP","0.99722222222222223"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2016,"DEC","TWP","1.924731182795699"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"JAN","SAN","1.635752688172043"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"FEB","SAN","1.9523809523809523"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"MAR","SAN","3.1518817204301075"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"APR","SAN","3.6152777777777776"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"MAY","SAN","3.611559139784946"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"JUN","SAN","3.0222222222222221"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"JUL","SAN","2.78494623655914"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"AUG","SAN","3.0981182795698925"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"SEP","SAN","3.0388888888888892"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"OCT","SAN","2.129032258064516"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"NOV","SAN","1.4458333333333335"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2014,"DEC","SAN","2.676075268817204"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"JAN","SAN","2.2809139784946235"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"FEB","SAN","3.0773809523809526"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"MAR","SAN","3.306451612903226"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"APR","SAN","3.380555555555556"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"MAY","SAN","3.1693548387096775"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"JUN","SAN","3.2194444444444446"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"JUL","SAN","2.823924731182796"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"AUG","SAN","2.9516129032258065"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"SEP","SAN","2.8819444444444446"
"CAP Pumping Plants - Daily \"Average\"  Power Schedule",2015,"OCT","SAN","1.9583333333333333"
