"","Variable","Jan","Feb","Mar","Q1","Apr","May","Jun","Q2","Jul","Aug","Sep","Q3","Oct","Nov","Dec","Q4","Total","Physical Turnout","Group","Subgroup","Name","Section","Year"
"5884","SEGMENT AVG FLOW (CFS)","-299.38346916532458","0","-2.0659476518146178",NA,"-226.82803832576903","-252.27335578221332","-1414.691544797445",NA,"-1519.301156605339","-1224.7002749174433","0",NA,"0","-29.971423768700618","0",NA,NA,NA,"SEGMENT AVG FLOW (CFS)",NA,NA,"WADDELL PGP",2019
"5885","     Subcontract","28630","24884","36182","89696","52829","67354","83733","203916","85537","76605","58607","220749","41519","5100","13765","60384","574745",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract",NA,"TOTAL SYSTEM DELIVERIES",2019
"5886","     Non-Subcontract (direct use excess)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"MUNICIPAL & INDUSTRIAL:","Non-Subcontract (direct use excess)",NA,"TOTAL SYSTEM DELIVERIES",2019
"5887","     CAGRD (xs replenishment obligation)","10","3","18","31","113","3620","4331","8064","2182","1178","1448","4808","2044","44","240","2328","15231",NA,"MUNICIPAL & INDUSTRIAL:","CAGRD (xs replenishment obligation)",NA,"TOTAL SYSTEM DELIVERIES",2019
"5888","     Salt River Project XS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"MUNICIPAL & INDUSTRIAL:","Salt River Project XS",NA,"TOTAL SYSTEM DELIVERIES",2019
"5889","     Temporary  Water Use Permits","29","21","26","76","23","91","31","145","29","203","59","291","58","43","12","113","625",NA,"MUNICIPAL & INDUSTRIAL:","Temporary Water Use Permits",NA,"TOTAL SYSTEM DELIVERIES",2019
"5890","     Miscellaneous","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"MUNICIPAL & INDUSTRIAL:","Miscellaneous",NA,"TOTAL SYSTEM DELIVERIES",2019
"5891","                    TOTAL M&I","28669","24908","36226","89803","52965","71065","88095","212125","87748","77986","60114","225848","43621","5187","14017","62825","590601","575370","TOTAL M&I",NA,NA,"TOTAL SYSTEM DELIVERIES",2019
"5892","     Drought","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"AGRICULTURAL:","Drought",NA,"TOTAL SYSTEM DELIVERIES",2019
"5893","     AG Pool","1422","1751","7992","11165","39956","24190","48816","112962","55202","42327","17893","115422","12841","1791","8514","23146","262695",NA,"AGRICULTURAL:","AG Pool",NA,"TOTAL SYSTEM DELIVERIES",2019
"5894","     Surplus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"AGRICULTURAL:","Surplus",NA,"TOTAL SYSTEM DELIVERIES",2019
"5895","                    TOTAL AG","1422","1751","7992","11165","39956","24190","48816","112962","55202","42327","17893","115422","12841","1791","8514","23146","262695",NA,"TOTAL AG",NA,NA,"TOTAL SYSTEM DELIVERIES",2019
"5896","     On Reservation","1258","3853","7924","13035","15078","16345","16277","47700","16667","15065","9606","41338","11312","2221","5121","18654","120727",NA,"FEDERAL:","On Reservation",NA,"TOTAL SYSTEM DELIVERIES",2019
"5897","     Off Reservation","10729","19801","30032","60562","35256","28685","30255","94196","29107","46398","37038","112543","35319","12418","16430","64167","331468",NA,"FEDERAL:","Off Reservation",NA,"TOTAL SYSTEM DELIVERIES",2019
"5898","                    TOTAL FEDERAL","11987","23654","37956","73597","50334","45030","46532","141896","45774","61463","46644","153881","46631","14639","21551","82821","452195","1600000","TOTAL FEDERAL",NA,NA,"TOTAL SYSTEM DELIVERIES",2019
"5899","     Direct (excess)","0","0","0","0","0","0","0","0","0","0","0","0","0","2000","4000","6000","6000",NA,"RECHARGE1:","Direct (excess)",NA,"TOTAL SYSTEM DELIVERIES",2019
"5900","     Direct AWBA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"RECHARGE1:","Direct AWBA",NA,"TOTAL SYSTEM DELIVERIES",2019
"5901","          Interstate Banking (from Direct AWBA)2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"RECHARGE1:","Direct AWBA","Interstate Banking (from Direct AWBA)2","TOTAL SYSTEM DELIVERIES",2019
"5902","     Indirect (excess)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"RECHARGE1:","Indirect (excess)",NA,"TOTAL SYSTEM DELIVERIES",2019
"5903","     Indirect AWBA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"RECHARGE1:","Indirect AWBA",NA,"TOTAL SYSTEM DELIVERIES",2019
"5904","          Interstate Banking (from Indirect AWBA)2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"RECHARGE1:","Indirect AWBA","Interstate Banking (from Indirect AWBA)2","TOTAL SYSTEM DELIVERIES",2019
"5905","               TOTAL INDIRECT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"TOTAL INDIRECT",NA,NA,"TOTAL SYSTEM DELIVERIES",2019
"5906","               TOTAL RECHARGE","0","0","0","0","0","0","0","0","0","0","0","0","0","2000","4000","6000","6000",NA,"TOTAL RECHARGE",NA,NA,"TOTAL SYSTEM DELIVERIES",2019
"5907","            TOTAL DELIVERIES","42078","50313","82174","174565","143255","140285","183443","466983","188724","181776","124651","495151","103093","23617","48082","174792","1311491",NA,"TOTAL DELIVERIES",NA,NA,"TOTAL SYSTEM DELIVERIES",2019
"5908","M&I","28669","24908","36226","89803","52965","71065","88095","212125","87748","77986","60114","225848","43621","5187","14017","62825","590601",NA,"M&I",NA,NA,"TOTAL DELIVERIES BY CLASS",2019
"5909","AG","1422","1751","7992","11165","39956","24190","48816","112962","55202","42327","17893","115422","12841","1791","8514","23146","262695",NA,"AG",NA,NA,"TOTAL DELIVERIES BY CLASS",2019
"5910","INDIAN","11987","23654","37956","73597","50334","45030","46532","141896","45774","61463","46644","153881","46631","14639","21551","82821","452195",NA,"INDIAN",NA,NA,"TOTAL DELIVERIES BY CLASS",2019
"5911","RECHARGE","0","0","0","0","0","0","0","0","0","0","0","0","0","2000","4000","6000","6000",NA,"RECHARGE",NA,NA,"TOTAL DELIVERIES BY CLASS",2019
"5912","TOTAL DELIVERIES","42078","50313","82174","174565","143255","140285","183443","466983","188724","181776","124651","495151","103093","23617","48082","174792","1311491",NA,"TOTAL DELIVERIES",NA,NA,"TOTAL DELIVERIES BY CLASS",2019
"5913","Canal Losses","97","148","274","519","367","425","417","1209","416","334","316","1066","285","235","186","706","3500",NA,"Canal Losses",NA,NA,"HAVASU PP",2020
"5914","SEGMENT DEMAND","97","148","274","519","367","425","417","1209","416","334","316","1066","285","235","186","706","3500",NA,"SEGMENT DEMAND",NA,NA,"HAVASU PP",2020
"5915","SEGMENT AVG FLOW (CFS)","1.5779285214647079","2.5735997356843514","4.457241390529175",NA,"6.1691040511010247","6.9136043466237203","7.0095814422592033",NA,"6.7671986075187478","5.433279651228994","5.3118171121196838",NA,"4.6361817383241419","3.9502437384434357","3.02571860816944",NA,NA,NA,"SEGMENT AVG FLOW (CFS)",NA,NA,"HAVASU PP",2020
"5916","VOLUME PASSING HAV","74264","74280","95230","243774","151299","179138","106836","437273","74704","63124","164966","302794","162845","122812","141113","426770","1410611",NA,"VOLUME PASSING HAV",NA,NA,"HAVASU PP",2020
"5917","FLOW PASSING HAV (CFS)","1208.0750898768565","1291.668840315092","1549.1353927740633",NA,"2543.2677760968231","2914.0923657540711","1795.8648512355016",NA,"1215.2327037886553","1026.85731947359","2773.0038661959993",NA,"2649.0491760610348","2064.4141872583627","2295.5281180355601",NA,NA,"Physical","FLOW PASSING HAV (CFS)",NA,NA,"HAVASU PP",2020
"5918","               TGV Investments/Fondomonte",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"MUNICIPAL & INDUSTRIAL:","Non-Subcontract","TGV Investments/Fondomonte","BOUSE PP",2020
"5919","                    TOTAL M&I","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"TOTAL M&I",NA,NA,"BOUSE PP",2020
"5920","                    TOTAL AG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"TOTAL AG",NA,NA,"BOUSE PP",2020
"5921","                    TOTAL FEDERAL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"TOTAL FEDERAL",NA,NA,"BOUSE PP",2020
"5922","               Ranegras Plain Recharge Project (AWBA, Direct)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"RECHARGE:","Direct AWBA","Ranegras Plain Recharge Project (AWBA, Direct)","BOUSE PP",2020
"5923","               TOTAL INDIRECT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"TOTAL INDIRECT",NA,NA,"BOUSE PP",2020
"5924","               TOTAL RECHARGE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"TOTAL RECHARGE",NA,NA,"BOUSE PP",2020
"5925","            TOTAL DELIVERIES","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"TOTAL DELIVERIES",NA,NA,"BOUSE PP",2020
"5926","Canal Losses","96","145","261","502","350","402","396","1148","394","318","301","1013","272","226","179","677","3340",NA,"Canal Losses",NA,NA,"BOUSE PP",2020
"5927","SEGMENT DEMAND","96","145","261","502","350","402","396","1148","394","318","301","1013","272","226","179","677","3340",NA,"SEGMENT DEMAND",NA,NA,"BOUSE PP",2020
"5928","SEGMENT AVG FLOW (CFS)","1.5616612171197111","2.5214321734745333","4.2457664340442145",NA,"5.8833417381072444","6.5394563466887892","6.6565809379727678",NA,"6.4093179119288139","5.1730027817090427","5.0596738947722306",NA,"4.4247067818391805","3.7989578080349635","2.9118474777544612",NA,NA,NA,"SEGMENT AVG FLOW (CFS)",NA,NA,"BOUSE PP",2020
"5929","VOLUME PASSING BSH","74167","74132","94956","243255","150932","178713","106419","436064","74288","62790","164650","301728","162560","122577","140927","426064","1407111",NA,"VOLUME PASSING BSH",NA,NA,"BOUSE PP",2020
"5930","FLOW PASSING BSH (CFS)","1206.4971613553917","1289.0952405794078","1544.6781513835342",NA,"2537.0986720457217","2907.1787614074469","1788.8552697932425",NA,"1208.4655051811365","1021.424039822361","2767.6920490838793",NA,"2644.4129943227108","2060.4639435199192","2292.5023994273906",NA,NA,NA,"FLOW PASSING BSH (CFS)",NA,NA,"BOUSE PP",2020
"5931","               EPCOR-AZ American WC (AF) - TDRP",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","EPCOR-AZ American WC (AF) - TDRP","LITTLE HARQUAHALA PP",2020
"5932","               EPCOR-AZ American WC (PV) - TDRP",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","EPCOR-AZ American WC (PV) - TDRP","LITTLE HARQUAHALA PP",2020
"5933","               Avondale - TDRP",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,"923",NA,"923","923",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Avondale - TDRP","LITTLE HARQUAHALA PP",2020
"5934","               Buckeye - TDRP",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Buckeye - TDRP","LITTLE HARQUAHALA PP",2020
"5935","               Buckeye - Tonopah ID",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","TON","MUNICIPAL & INDUSTRIAL:","Subcontract","Buckeye - Tonopah ID","LITTLE HARQUAHALA PP",2020
"5936","               CAGRD M&I (Tonopah ID)","573","376","756","1705","1418","1499","476","3393",NA,NA,NA,"0",NA,NA,NA,"0","5098","TON","MUNICIPAL & INDUSTRIAL:","Subcontract","CAGRD M&I (Tonopah ID)","LITTLE HARQUAHALA PP",2020
"5937","               Chandler - TDRP",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Chandler - TDRP","LITTLE HARQUAHALA PP",2020
"5938","               El Mirage - TDRP",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","TDR","MUNICIPAL & INDUSTRIAL:","Subcontract","El Mirage - TDRP","LITTLE HARQUAHALA PP",2020
"5939","               Florence - Tonopah ID",NA,NA,NA,"0",NA,"512","512","1024","512","512",NA,"1024",NA,NA,NA,"0","2048",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Florence - Tonopah ID","LITTLE HARQUAHALA PP",2020
"5940","               Gilbert - TDRP",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Gilbert - TDRP","LITTLE HARQUAHALA PP",2020
"5941","               Glendale - TDRP",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"200","200","200",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Glendale - TDRP","LITTLE HARQUAHALA PP",2020
"5942","               Peoria TDRP",NA,NA,NA,"0",NA,NA,NA,"0","938",NA,NA,"938",NA,NA,NA,"0","938",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Peoria TDRP","LITTLE HARQUAHALA PP",2020
"5943","               Scottsdale TDRP",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"500","500","500",NA,NA,"500","1000",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Scottsdale TDRP","LITTLE HARQUAHALA PP",2020
"5944","               Surprise - TDRP",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Surprise - TDRP","LITTLE HARQUAHALA PP",2020
"5945","               New Harquahala Generating Co.",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"MUNICIPAL & INDUSTRIAL:","Non-Subcontract","New Harquahala Generating Co.","LITTLE HARQUAHALA PP",2020
"5946","               TDRP (CAGRD RO)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"MUNICIPAL & INDUSTRIAL:","CAGRD RO","TDRP (CAGRD RO)","LITTLE HARQUAHALA PP",2020
"5947","               Tonopah ID (CAGRD RO)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","TON","MUNICIPAL & INDUSTRIAL:","CAGRD RO","Tonopah ID (CAGRD RO)","LITTLE HARQUAHALA PP",2020
"5948","                    TOTAL M&I","573","376","756","1705","1418","2011","988","4417","1450","512","500","2462","500","923","200","1623","10207",NA,"TOTAL M&I",NA,NA,"LITTLE HARQUAHALA PP",2020
"5949","               Harquahala Valley ID","278","131","350","759","1880","3547","4837","10264","4549","4873","3130","12552","973","659","1876","3508","27083","HAR","AGRICULTURAL:","AG Pool","Harquahala Valley ID","LITTLE HARQUAHALA PP",2020
"5950","               Tonopah ID",NA,NA,NA,"0",NA,"200","250","450","335","335","515","1185","715","245","69","1029","2664","TON","AGRICULTURAL:","AG Pool","Tonopah ID","LITTLE HARQUAHALA PP",2020
"5951","                    TOTAL AG","278","131","350","759","1880","3747","5087","10714","4884","5208","3645","13737","1688","904","1945","4537","29747",NA,"TOTAL AG",NA,NA,"LITTLE HARQUAHALA PP",2020
"5952","               Ak-Chin - TDRP",NA,NA,NA,"0",NA,NA,NA,"0",NA,"4000",NA,"4000",NA,NA,"1695","1695","5695",NA,"FEDERAL:","Off Reservation","Ak-Chin - TDRP","LITTLE HARQUAHALA PP",2020
"5953","               Chandler/Assignment - TDRP",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"FEDERAL:","Off Reservation","Chandler/Assignment - TDRP","LITTLE HARQUAHALA PP",2020
"5954","               Chandler/SRPMIC Lease - TDRP",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"FEDERAL:","Off Reservation","Chandler/SRPMIC Lease - TDRP","LITTLE HARQUAHALA PP",2020
"5955","               Chandler/Wellton-Mohawk - TDRP",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"FEDERAL:","Off Reservation","Chandler/Wellton-Mohawk - TDRP","LITTLE HARQUAHALA PP",2020
"5956","               FMYN/Gilbert - TDRP",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","TDR","FEDERAL:","Off Reservation","FMYN/Gilbert - TDRP","LITTLE HARQUAHALA PP",2020
"5957","               Gilbert/SRPMIC Lease - TDRP",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"FEDERAL:","Off Reservation","Gilbert/SRPMIC Lease - TDRP","LITTLE HARQUAHALA PP",2020
"5958","               Gilbert/Wellton-Mohawk - TDRP",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"FEDERAL:","Off Reservation","Gilbert/Wellton-Mohawk - TDRP","LITTLE HARQUAHALA PP",2020
"5959","               GRIC exchg w/Chandler - TDRP",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"FEDERAL:","Off Reservation","GRIC exchg w/Chandler - TDRP","LITTLE HARQUAHALA PP",2020
"5960","               GRIC Lease (CAGRD) / TDRP",NA,NA,NA,"0",NA,NA,NA,"0","3185",NA,NA,"3185",NA,NA,NA,"0","3185",NA,"FEDERAL:","Off Reservation","GRIC Lease (CAGRD) / TDRP","LITTLE HARQUAHALA PP",2020
"5961","               GRIC Exchange (CAGRD) / TDRP",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"854","854",NA,NA,NA,"0","854",NA,"FEDERAL:","Off Reservation","GRIC Exchange (CAGRD) / TDRP","LITTLE HARQUAHALA PP",2020
"5962","               GRIC Exchange (CAGRD) / Tonopah ID",NA,NA,NA,"0",NA,NA,"859","859","838","1566","1190","3594","959","490",NA,"1449","5902",NA,"FEDERAL:","Off Reservation","GRIC Exchange (CAGRD) / Tonopah ID","LITTLE HARQUAHALA PP",2020
"5963","                    TOTAL FEDERAL","0","0","0","0","0","0","859","859","4023","5566","2044","11633","959","490","1695","3144","15636",NA,"TOTAL FEDERAL",NA,NA,"LITTLE HARQUAHALA PP",2020
"5964","               Active Resource Mgmt-Vidler",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"RECHARGE:","Direct","Active Resource Mgmt-Vidler","LITTLE HARQUAHALA PP",2020
"5965","               CAGRD RR (TDRP)",NA,NA,NA,"0",NA,NA,NA,"0","512","3000","5188","8700","2632",NA,NA,"2632","11332",NA,"RECHARGE:","Direct","CAGRD RR (TDRP)","LITTLE HARQUAHALA PP",2020
"5966","               El Mirage (TDRP)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"RECHARGE:","Direct","El Mirage (TDRP)","LITTLE HARQUAHALA PP",2020
"5967","               Hopi Tribe (TDRP)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"RECHARGE:","Direct","Hopi Tribe (TDRP)","LITTLE HARQUAHALA PP",2020
"5968","               Resolution Copper (TDRP)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"RECHARGE:","Direct","Resolution Copper (TDRP)","LITTLE HARQUAHALA PP",2020
"5969","               Active Resource Mgmt-Vidler (TDRP)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"RECHARGE:","Direct","Active Resource Mgmt-Vidler (TDRP)","LITTLE HARQUAHALA PP",2020
"5970","               Water Util. Greater Tonopah (WUG)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"RECHARGE:","Direct","Water Util. Greater Tonopah (WUG)","LITTLE HARQUAHALA PP",2020
"5971","               Hassayampa Ventures, LLC (HRF)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","WMC","RECHARGE:","Direct","Hassayampa Ventures, LLC (HRF)","LITTLE HARQUAHALA PP",2020
"5972","               TDRP, AWBA",NA,NA,NA,"0",NA,NA,NA,"0",NA,"7028","8000","15028","8436","7003","3988","19427","34455",NA,"RECHARGE:","Direct AWBA","TDRP, AWBA","LITTLE HARQUAHALA PP",2020
"5973","               Interstate Banking (TDRP, AWBA, Direct)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"RECHARGE:","Direct AWBA","Interstate Banking (TDRP, AWBA, Direct)","LITTLE HARQUAHALA PP",2020
"5974","               CAGRD RR/Tonopah ID",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","TON","RECHARGE:","Indirect","CAGRD RR/Tonopah ID","LITTLE HARQUAHALA PP",2020
"5975","               Interstate (Tonopah ID, AWBA, Indirect)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"RECHARGE:","Indirect AWBA","Interstate (Tonopah ID, AWBA, Indirect)","LITTLE HARQUAHALA PP",2020
"5976","               Tonopah ID (AWBA, Indirect)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,"74","326","400","400",NA,"RECHARGE:","Indirect AWBA","Tonopah ID (AWBA, Indirect)","LITTLE HARQUAHALA PP",2020
"5977","               TOTAL INDIRECT","0","0","0","0","0","0","0","0","0","0","0","0","0","74","326","400","400",NA,"TOTAL INDIRECT",NA,NA,"LITTLE HARQUAHALA PP",2020
"5978","               TOTAL RECHARGE","0","0","0","0","0","0","0","0","512","10028","13188","23728","11068","7077","4314","22459","46187",NA,"TOTAL RECHARGE",NA,NA,"LITTLE HARQUAHALA PP",2020
"5979","            TOTAL DELIVERIES","851","507","1106","2464","3298","5758","6934","15990","10869","21314","19377","51560","14215","9394","8154","31763","101777",NA,"TOTAL DELIVERIES",NA,NA,"LITTLE HARQUAHALA PP",2020
"5980","Canal Losses","173","260","471","904","629","725","712","2066","711","573","542","1826","490","407","323","1220","6016",NA,"Canal Losses",NA,NA,"LITTLE HARQUAHALA PP",2020
"5981","SEGMENT DEMAND","1024","767","1577","3368","3927","6483","7646","18056","11580","21887","19919","53386","14705","9801","8477","32983","107793",NA,"SEGMENT DEMAND",NA,NA,"LITTLE HARQUAHALA PP",2020
"5982","SEGMENT AVG FLOW (CFS)","16.657719649276917","13.337506738310118","25.653538952060252",NA,"66.01109430156329","105.46093406861549","128.52580265590856",NA,"188.37538431506516","356.04249019894911","334.8293830895949",NA,"239.21071039318073","164.75037821482601","137.89793893253949",NA,NA,NA,"SEGMENT AVG FLOW (CFS)",NA,NA,"LITTLE HARQUAHALA PP",2020
"5983","VOLUME PASSING LHQ ","74071","73987","94695","242753","150582","178311","106023","434916","73894","62472","164349","300715","162288","122351","140748","425387","1403771",NA,"VOLUME PASSING LHQ",NA,NA,"LITTLE HARQUAHALA PP",2020
"5984","FLOW PASSING LHQ (CFS)","1204.9355001382721","1286.5738084059331","1540.4323849494899",NA,"2531.2153303076143","2900.639305060758","1782.1986888552697",NA,"1202.0561872692074","1016.2510370406519","2762.6323751891073",NA,"2639.9882875408716","2056.6649857118841","2289.5905519496364",NA,NA,NA,"FLOW PASSING LHQ (CFS)",NA,NA,"LITTLE HARQUAHALA PP",2020
"5985","               EPCOR-AZAmerican/Sun City (MWD)",NA,NA,"155","155","630","877","600","2107","584","598","446","1628","102","102",NA,"204","4094","MWD","MUNICIPAL & INDUSTRIAL:","Subcontract","EPCOR-AZAmerican/Sun City (MWD)","HASSAYAMPA PP",2020
"5986","               EPCOR-AZAmerican/Agua Fria (MWD)",NA,"300","847","1147","1240","1602","1750","4592","2009","2026","1319","5354",NA,NA,NA,"0","11093","MWD","MUNICIPAL & INDUSTRIAL:","Subcontract","EPCOR-AZAmerican/Agua Fria (MWD)","HASSAYAMPA PP",2020
"5987","               EPCOR-AZAmerican/Sun Cty West (MWD)",NA,NA,"88","88","356","496","340","1192","330","338","252","920","58","58",NA,"116","2316","MWD","MUNICIPAL & INDUSTRIAL:","Subcontract","EPCOR-AZAmerican/Sun Cty West (MWD)","HASSAYAMPA PP",2020
"5988","               EPCOR-AZAmerican/PV (MWD)",NA,NA,"79","79","301","445","305","1051","297","304","226","827","52","52",NA,"104","2061","MWD","MUNICIPAL & INDUSTRIAL:","Subcontract","EPCOR-AZAmerican/PV (MWD)","HASSAYAMPA PP",2020
"5989","               EPCOR-Rio Verde Utilities (MWD)",NA,NA,NA,"0",NA,NA,"172","172",NA,NA,NA,"0",NA,NA,NA,"0","172",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","EPCOR-Rio Verde Utilities (MWD)","HASSAYAMPA PP",2020
"5990","               Arizona State Land Dept. (ADOT)","5","4","92","101","291","47","283","621","78","29","6","113","21","17","3","41","876","Pump","MUNICIPAL & INDUSTRIAL:","Subcontract","Arizona State Land Dept. (ADOT)","HASSAYAMPA PP",2020
"5991","               Arizona State Land Dept. (ADOT) CSIF",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Arizona State Land Dept. (ADOT) CSIF","HASSAYAMPA PP",2020
"5992","               Arizona Water Co. (White Tank) w/MWD",NA,NA,NA,"0",NA,NA,"718","718",NA,"200",NA,"200",NA,"50",NA,"50","968","MWD","MUNICIPAL & INDUSTRIAL:","Subcontract","Arizona Water Co. (White Tank) w/MWD","HASSAYAMPA PP",2020
"5993","               ASARCO w/ RID GSF (CSIF)",NA,NA,NA,"0","658","4865","6351","11874","2626","2606","194","5426",NA,NA,NA,"0","17300",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","ASARCO w/ RID GSF (CSIF)","HASSAYAMPA PP",2020
"5994","               Avondale (AFRP)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","AFR","MUNICIPAL & INDUSTRIAL:","Subcontract","Avondale (AFRP)","HASSAYAMPA PP",2020
"5995","               Avondale (HMRP)","800","900","1000","2700","416",NA,NA,"416",NA,"1000",NA,"1000",NA,NA,NA,"0","4116","HMR","MUNICIPAL & INDUSTRIAL:","Subcontract","Avondale (HMRP)","HASSAYAMPA PP",2020
"5996","               Avondale (CSIF)",NA,NA,NA,"0",NA,"362",NA,"362",NA,NA,NA,"0",NA,NA,"15","15","377","SRP","MUNICIPAL & INDUSTRIAL:","Subcontract","Avondale (CSIF)","HASSAYAMPA PP",2020
"5997","               Buckeye/Festival Rch","18","22","19","59","42","52","51","145","56","5",NA,"61",NA,NA,NA,"0","265",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Buckeye/Festival Rch","HASSAYAMPA PP",2020
"5998","               CAGRD M&I (AFRP)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","893",NA,NA,"893","893","AFR","MUNICIPAL & INDUSTRIAL:","Subcontract","CAGRD M&I (AFRP)","HASSAYAMPA PP",2020
